,SVR,RandomForestRegressor,GradientBoostingRegressor
R2,-0.010176054702923931,0.15739120028640363,0.2447468186288041
MSE,4854842274361.772,4049524637368.103,3629699056611.867
MAE,352889.0647670915,353292.28837858763,341480.2652825857
