,SVR,RandomForestRegressor,GradientBoostingRegressor
R2,-0.010225747144972486,0.20412622669329583,0.2157779804741924
MSE,5440423183867.017,4286061942062.297,4223313124205.0513
MAE,379904.0372972522,374206.1788337904,362752.51587151235
